id;start_date;end_date;language
1;2020-08-01T11:33:08;2020-08-01T04:41:25;FRENCH
2;2020-08-01T13:03:13;2020-07-31T22:09:24;FRENCH
3;2020-08-01T08:35:18;2020-07-31T23:59:18;SPANISH
4;2020-07-31T21:47:09;2020-08-01T05:14:11;SPANISH
5;2020-08-01T06:45:48;2020-08-01T11:29:57;ENGLISH
6;2020-08-01T13:02:49;2020-08-01T14:19:45;FRENCH
7;2020-07-31T22:25:09;2020-08-01T11:05:56;ENGLISH
8;2020-07-31T19:56:27;2020-08-01T03:56:36;FRENCH
9;2020-08-01T05:44:33;2020-08-01T14:09:12;ENGLISH
10;2020-08-01T09:02:43;2020-08-01T06:18:58;FRENCH
